Date,Day,Country,Population,Latitude,Longitude,cum_case,cum_recovered,cum_deaths,day_case,day_recover,day_deaths,per_case,per_recover,per_deaths,per_in_treatment
05/28/2020,128,Grenada,112519,12.1165,-61.679,23,18,0,0,0,0,0.020440992,78.26086957,0,21.73913043
05/28/2020,128,Guatemala,17915567,15.7835,-90.2308,4348,565,80,203,72,12,0.024269397,12.99448022,1.839926403,85.16559338
05/28/2020,128,Guinea,13132792,9.9456,-9.6966,3553,1950,22,278,277,2,0.027054415,54.8831973,0.619195046,44.49760766
05/28/2020,128,Guinea-Bissau,1967998,11.8037,-15.1804,1195,42,8,0,0,1,0.060721606,3.514644351,0.669456067,95.81589958
05/28/2020,128,Guyana,786559,4.860416,-58.93018,150,67,11,11,0,0,0.019070407,44.66666667,7.333333333,48
05/28/2020,128,Haiti,11402533,18.9712,-72.2852,1320,22,34,0,0,0,0.011576375,1.666666667,2.575757576,95.75757576
05/28/2020,128,Holy See,809,41.9029,12.4534,12,2,0,0,0,0,1.483312732,16.66666667,0,83.33333333
05/28/2020,128,Honduras,9904608,15.2,-86.2419,4752,519,196,112,13,2,0.047977669,10.92171717,4.124579125,84.9537037
05/28/2020,128,Hungary,9660350,47.1625,19.5033,3816,1996,509,23,140,4,0.039501674,52.30607966,13.33857442,34.35534591
05/28/2020,128,Iceland,341250,64.9631,-19.0208,1805,1792,10,0,0,0,0.528937729,99.27977839,0.55401662,0.166204986
05/28/2020,128,India,1380004385,20.593684,78.96288,165386,70920,4711,7300,3171,177,0.011984455,42.88150146,2.84848778,54.27001076
05/28/2020,128,Indonesia,273523621,-0.7893,113.9213,24538,6240,1496,687,183,23,0.008971072,25.42994539,6.096666395,68.47338821
05/28/2020,128,Iran,83992953,32.427908,53.688046,143849,112988,7627,2258,1812,63,0.171263177,78.54625336,5.302087606,16.15165903
05/28/2020,128,Iraq,40222503,33.223191,43.679291,5457,2971,179,322,67,4,0.013567032,54.44383361,3.280190581,42.27597581
05/28/2020,128,Ireland,4937796,53.1424,-7.6921,24841,22089,1639,38,0,8,0.503078702,88.921541,6.597963045,4.480495954
05/28/2020,128,Israel,8655541,31.046051,34.851612,16872,14679,284,79,109,3,0.194927157,87.00213371,1.68326221,11.31460408
05/28/2020,128,Italy,60461828,41.87194,12.56738,231732,150604,33142,593,3503,70,0.38326992,64.99059258,14.30186595,20.70754147
05/28/2020,128,Jamaica,2961161,18.1096,-77.2975,569,284,9,0,5,0,0.019215436,49.91212654,1.58172232,48.50615114
05/28/2020,128,Japan,126476458,36.204824,138.252924,16598,14096,881,-53,123,23,0.013123391,84.92589469,5.307868418,9.766236896
05/28/2020,128,Jordan,10203140,31.24,36.51,728,497,9,8,-89,0,0.007135058,68.26923077,1.236263736,30.49450549
05/28/2020,128,Kazakhstan,18776707,48.0196,66.9237,9576,4900,37,272,132,0,0.050999358,51.16959064,0.386382623,48.44402673
